,conflict_events_total,conflict_fatalities_best,conflict_any_event
count,9726.0,9726.0,9726.0
mean,39.67900472959079,406.862327781205,0.21036397285626157
std,409.4560959169797,8521.915021640221,0.40758809182814937
min,0.0,0.0,0.0
25%,0.0,0.0,0.0
50%,0.0,0.0,0.0
75%,0.0,0.0,0.0
max,18649.0,772463.0,1.0
