iso3,year,conflict_events_total,conflict_fatalities_best,conflict_fatalities_high,conflict_fatalities_low,conflict_state_based_events,conflict_non_state_events,conflict_one_sided_events,conflict_any_event,conflict_any_fatality
TJK,2000,2,46,46,46,2,0,0,1,1
TJK,2005,1,1,1,1,1,0,0,1,1
TJK,2006,4,8,10,8,4,0,0,1,1
TJK,2009,7,17,18,17,7,0,0,1,1
TJK,2010,21,98,244,93,21,0,0,1,1
TJK,2011,5,28,30,21,5,0,0,1,1
TJK,2013,2,3,3,3,2,0,0,1,1
TJK,2014,2,3,3,3,2,0,0,1,1
TJK,2018,3,56,67,56,2,0,1,1,1
TJK,2019,3,53,79,28,3,0,0,1,1
TJK,2021,5,16,16,16,5,0,0,1,1
TJK,2022,26,87,94,75,26,0,0,1,1
TTO,1990,3,39,55,32,3,0,0,1,1
TUN,2002,1,21,21,21,0,0,1,1,1
TUN,2011,2,8,13,8,2,0,0,1,1
TUN,2012,2,3,3,3,2,0,0,1,1
TUN,2013,8,29,30,29,8,0,0,1,1
TUN,2014,22,51,61,51,22,0,0,1,1
TUN,2015,26,137,139,137,23,0,3,1,1
TUN,2016,15,88,89,88,15,0,0,1,1
TUN,2017,10,15,21,12,10,0,0,1,1
TUN,2018,13,25,25,23,12,0,1,1,1
TUN,2019,9,20,20,20,9,0,0,1,1
TUN,2020,5,12,12,12,5,0,0,1,1
TUN,2021,9,18,19,18,9,0,0,1,1
TUN,2022,1,3,3,3,1,0,0,1,1
TUN,2023,1,3,3,3,1,0,0,1,1
TUR,1989,201,538,538,538,163,0,38,1,1
TUR,1990,223,630,629,618,187,0,36,1,1
TUR,1991,158,448,453,448,140,0,18,1,1
TUR,1992,341,1926,1939,1915,285,0,56,1,1
TUR,1993,500,2765,3974,2765,397,0,103,1,1
TUR,1994,638,4182,4290,4182,589,0,49,1,1
TUR,1995,816,3650,4347,3643,798,0,18,1,1
TUR,1996,647,3811,3903,3799,637,0,10,1,1
TUR,1997,498,2600,2713,2597,492,0,6,1,1
TUR,1998,328,2058,2064,2057,320,0,8,1,1
TUR,1999,267,1155,1232,1155,257,0,10,1,1
TUR,2000,33,153,157,153,33,0,0,1,1
TUR,2001,33,120,135,120,33,0,0,1,1
TUR,2002,21,34,38,34,21,0,0,1,1
TUR,2003,43,150,152,150,39,0,4,1,1
TUR,2004,124,221,359,221,123,0,1,1,1
TUR,2005,114,295,326,290,114,0,0,1,1
TUR,2006,92,226,277,226,92,0,0,1,1
TUR,2007,137,502,525,502,132,0,5,1,1
TUR,2008,129,491,512,486,124,0,5,1,1
TUR,2009,47,138,138,133,47,0,0,1,1
TUR,2010,78,234,292,225,78,0,0,1,1
TUR,2011,114,410,437,409,114,0,0,1,1
TUR,2012,141,789,802,789,140,0,1,1,1
TUR,2013,9,75,80,23,5,3,1,1,1
TUR,2014,8,11,12,10,8,0,0,1,1
TUR,2015,232,1061,1250,1056,224,0,8,1,1
TUR,2016,234,1561,1657,1561,228,0,6,1,1
TUR,2017,65,462,476,462,59,0,6,1,1
TUR,2018,181,461,473,459,176,5,0,1,1
TUR,2019,144,311,326,311,135,7,2,1,1
TUR,2020,116,226,236,226,112,0,4,1,1
TUR,2021,82,132,150,132,80,2,0,1,1
TUR,2022,65,107,120,107,61,2,2,1,1
TUR,2023,58,108,114,108,56,0,2,1,1
TUR,2024,28,43,52,43,25,0,3,1,1
TZA,1992,1,1,1,1,0,0,1,1,1
TZA,1996,1,10,10,10,0,1,0,1,1
TZA,1997,1,3,3,3,0,0,1,1,1
TZA,1999,1,0,4,0,0,0,1,1,0
TZA,2001,7,37,71,37,0,0,7,1,1
TZA,2007,1,3,3,3,0,0,1,1,1
TZA,2012,1,1,1,1,0,0,1,1,1
TZA,2014,1,10,10,0,0,0,1,1,1
TZA,2017,1,1,1,1,0,0,1,1,1
TZA,2018,1,1,1,1,0,0,1,1,1
TZA,2019,3,8,8,7,0,0,3,1,1
TZA,2020,17,44,64,39,2,0,15,1,1
TZA,2021,8,26,27,18,4,0,4,1,1
TZA,2022,3,4,4,4,1,0,2,1,1
TZA,2024,5,6,6,5,0,0,5,1,1
UGA,1989,24,1057,1110,1057,18,0,6,1,1
UGA,1990,34,809,821,809,15,0,19,1,1
UGA,1991,21,1018,1018,1018,9,0,12,1,1
UGA,1992,4,76,76,76,2,2,0,1,1
UGA,1994,18,160,240,160,13,0,5,1,1
UGA,1995,20,537,584,537,16,0,4,1,1
UGA,1996,120,1798,2224,1798,58,0,62,1,1
UGA,1997,77,1354,1645,1354,53,0,24,1,1
UGA,1998,121,1214,1491,1214,70,4,47,1,1
UGA,1999,89,1024,1284,1016,32,5,52,1,1
UGA,2000,116,1238,1273,1238,60,17,39,1,1
UGA,2001,55,212,281,212,31,5,19,1,1
UGA,2002,164,1316,1405,1316,93,2,69,1,1
UGA,2003,194,1628,2557,1627,93,26,75,1,1
UGA,2004,251,2004,2700,1962,199,6,46,1,1
UGA,2005,221,922,1047,922,163,8,50,1,1
UGA,2006,98,334,444,334,78,7,13,1,1
UGA,2007,21,156,235,156,11,4,6,1,1
UGA,2008,8,32,74,31,0,7,1,1,1
UGA,2009,6,59,59,59,0,4,2,1,1
UGA,2010,1,74,76,74,0,0,1,1,1
UGA,2014,1,7,7,7,0,0,1,1,1
UGA,2016,2,30,30,30,0,2,0,1,1
UGA,2017,1,0,1,0,1,0,0,1,0
UGA,2018,2,2,2,2,0,0,2,1,1
UGA,2019,2,2,2,2,0,0,2,1,1
UGA,2021,12,23,24,23,10,0,2,1,1
UGA,2022,6,25,28,25,6,0,0,1,1
UGA,2023,12,79,86,74,6,0,6,1,1
UGA,2024,1,1,1,0,0,0,1,1,1
UKR,2014,1303,4946,5687,4823,1302,1,0,1,1
UKR,2015,871,1894,1951,1739,871,0,0,1,1
UKR,2016,514,699,768,490,514,0,0,1,1
UKR,2017,216,447,497,422,216,0,0,1,1
UKR,2018,153,243,257,168,153,0,0,1,1
UKR,2019,199,311,311,259,199,0,0,1,1
UKR,2020,145,196,257,113,145,0,0,1,1
UKR,2021,167,208,213,167,167,0,0,1,1
UKR,2022,7429,92615,168564,69887,7221,0,208,1,1
UKR,2023,10181,75393,135738,59597,10174,0,7,1,1
UKR,2024,10369,68116,115424,62559,10358,0,11,1,1
USA,2001,3,2986,2986,2986,2,0,1,1,1
USA,2010,1,2,2,2,0,1,0,1,1
USA,2015,1,14,14,14,0,0,1,1,1
USA,2017,1,8,8,8,0,0,1,1,1
USA,2018,1,1,1,1,0,0,1,1,1
USA,2019,1,4,4,4,0,1,0,1,1
USA,2022,1,1,1,1,0,1,0,1,1
UZB,1999,6,50,58,47,6,0,0,1,1
UZB,2000,16,297,307,266,16,0,0,1,1
UZB,2004,8,37,50,19,8,0,0,1,1
UZB,2009,2,16,16,16,2,0,0,1,1
VEN,1989,54,58,439,58,0,0,54,1,1
VEN,1990,66,64,79,64,0,0,66,1,1
VEN,1991,38,30,41,30,0,0,38,1,1
VEN,1992,75,223,358,223,4,0,71,1,1
VEN,1993,75,63,92,63,0,0,75,1,1
VEN,1994,47,164,180,164,0,1,46,1,1
VEN,1995,45,28,80,28,0,0,45,1,1
VEN,1996,53,33,58,33,0,0,53,1,1
VEN,1997,5,33,33,33,0,2,3,1,1
VEN,1998,14,10,17,10,0,0,14,1,1
VEN,1999,41,26,47,26,0,0,41,1,1
VEN,2000,40,27,48,27,0,0,40,1,1
VEN,2001,50,27,60,27,0,0,50,1,1
VEN,2002,30,27,39,27,0,2,28,1,1
VEN,2003,40,25,53,25,0,0,40,1,1
VEN,2004,50,31,67,22,0,0,50,1,1
VEN,2005,32,30,45,19,0,0,32,1,1
VEN,2006,21,22,28,22,0,0,21,1,1
VEN,2007,25,17,37,17,1,0,24,1,1
VEN,2008,44,27,63,27,0,0,44,1,1
VEN,2009,49,27,66,27,0,0,49,1,1
VEN,2010,44,23,55,23,0,0,44,1,1
VEN,2011,22,11,23,11,0,0,22,1,1
VEN,2012,29,33,65,33,0,1,28,1,1
VEN,2013,41,9,57,9,0,0,41,1,1
VEN,2014,42,49,55,49,0,0,42,1,1
VEN,2015,30,32,39,32,0,0,30,1,1
VEN,2016,60,60,97,60,0,0,60,1,1
VEN,2017,94,76,113,76,0,0,94,1,1
VEN,2018,91,94,127,94,0,0,91,1,1
VEN,2019,76,83,101,83,0,0,76,1,1
VEN,2020,4,5,5,5,0,0,4,1,1
VEN,2021,10,20,20,20,1,2,7,1,1
VEN,2022,23,39,40,38,1,5,17,1,1
VEN,2023,15,16,17,16,0,0,15,1,1
VEN,2024,10,12,12,8,0,0,10,1,1
YEM,1994,72,1489,3253,1283,72,0,0,1,1
YEM,2000,1,19,19,19,1,0,0,1,1
YEM,2002,1,2,2,2,1,0,0,1,1
YEM,2003,1,6,6,6,0,1,0,1,1
YEM,2004,2,29,30,28,0,2,0,1,1
YEM,2008,2,21,21,21,2,0,0,1,1
YEM,2009,5,94,103,94,5,0,0,1,1
YEM,2010,63,201,270,166,61,2,0,1,1
YEM,2011,219,1430,1540,1303,174,4,41,1,1
YEM,2012,253,2461,2555,2453,248,5,0,1,1
YEM,2013,126,578,646,572,126,0,0,1,1
YEM,2014,281,2364,2902,2331,249,32,0,1,1
YEM,2015,605,8125,9194,7588,538,61,6,1,1
YEM,2016,343,4027,4148,3937,230,110,3,1,1
YEM,2017,397,3620,4110,3419,294,102,1,1,1
YEM,2018,387,4996,7172,4832,312,73,2,1,1
YEM,2019,304,2959,3913,2331,223,79,2,1,1
YEM,2020,657,6754,16792,4132,590,59,8,1,1
YEM,2021,768,23463,33771,22191,729,22,17,1,1
YEM,2022,455,3220,3935,2386,401,44,10,1,1
YEM,2023,319,931,4760,827,272,37,10,1,1
YEM,2024,184,990,1093,548,155,23,6,1,1
ZAF,1989,279,645,839,644,57,185,37,1,1
ZAF,1990,562,1459,2072,1459,0,399,163,1,1
ZAF,1991,448,737,1120,734,0,385,63,1,1
ZAF,1992,574,761,954,761,0,481,93,1,1
ZAF,1993,576,895,1210,895,0,417,159,1,1
ZAF,1994,263,532,665,532,0,232,31,1,1
ZAF,1995,39,143,175,143,0,39,0,1,1
ZAF,1996,37,156,287,155,0,37,0,1,1
ZAF,1997,20,30,68,30,0,20,0,1,1
ZAF,1998,23,44,141,44,0,23,0,1,1
ZAF,1999,11,19,28,19,0,11,0,1,1
ZAF,2000,1,0,1,0,0,1,0,1,0
ZAF,2002,3,2,8,2,0,0,3,1,1
ZAF,2004,4,0,18,0,0,4,0,1,0
ZAF,2010,1,1,1,1,0,0,1,1,1
ZAF,2015,1,0,1,0,0,0,1,1,0
ZAF,2016,3,3,4,1,0,2,1,1,1
ZAF,2018,3,12,12,11,0,2,1,1,1
ZAF,2019,6,8,10,7,0,4,2,1,1
ZAF,2020,18,29,92,29,0,12,6,1,1
ZAF,2021,12,123,161,123,0,12,0,1,1
ZAF,2022,4,4,5,1,0,4,0,1,1
ZAF,2023,5,5,5,1,0,3,2,1,1
ZAF,2024,2,2,2,2,0,0,2,1,1
ZMB,1989,25,87,87,87,0,0,25,1,1
ZMB,1990,9,40,40,40,0,0,9,1,1
ZMB,1993,1,1,1,1,0,0,1,1,1
ZMB,2000,1,1,1,1,0,0,1,1,1
ZMB,2001,2,7,17,7,0,0,2,1,1
ZWE,1989,3,37,37,37,0,0,3,1,1
ZWE,1990,3,14,14,14,0,0,3,1,1
ZWE,1995,2,4,4,1,0,0,2,1,1
ZWE,1998,1,1,1,1,0,0,1,1,1
ZWE,1999,1,1,1,1,0,0,1,1,1
ZWE,2001,1,0,1,0,0,0,1,1,0
ZWE,2003,1,0,2,0,0,0,1,1,0
ZWE,2007,2,0,7,0,0,0,2,1,0
ZWE,2008,40,253,317,253,0,0,40,1,1
ZWE,2009,1,0,1,0,0,0,1,1,0
ZWE,2011,1,1,1,1,0,0,1,1,1
ZWE,2012,1,1,1,1,0,0,1,1,1
ZWE,2018,2,4,4,4,0,0,2,1,1
ZWE,2019,8,8,9,8,0,0,8,1,1
ZWE,2020,1,2,2,2,0,0,1,1,1
